Bepaling,BepalingCode,count,mean,std,min,25%,50%,75%,max,include,group
Leuco's ascitesvocht,K_LEU_AS,144,6.387458,49.94279,0,0.08275,0.2125,0.60825,591.2,0,
Strongyloides antistoffen ELISA,M_STRSTEnum_SR,141,81.01418,43.00199,50,62,69,81,339,0,
Kreat.klaring,K_KKLBer,141,32.11348,25.53739,0,10,29,49,145,0,
Prim.Eryt.1 (BM),SPREBLBM;BM,138,9.630435,10.54852,1,3,6,11,52,0,
Dysmorfe ery,SDYS;U,138,4.152174,10.10666,0,0,0,5,65,0,
Cytomegalovirus IgG testwaarde,M_CMVGXLnum_SR,136,75.81088,57.04547,5,11.575,72.8,119.25,180,0,
Vit-B12,K_VB12_SR,136,653.9779,739.3593,100,285,440.5,681,4427,0,
Bepaling voor ontvangen DIFF panels vanuit Sysmex (vanuit Rules toegevoegd),K_SMEAR_INFO,133,24,0,24,24,24,24,24,0,
Kreatinine,RKRE;O,133,726.9782,1589.926,5,67,160.1,455,13248,0,
Epstein Barr Virus VCA IgG testwaarde,M_EBVGnum_SR,133,352.2068,287.5876,10,105,249,750,750,0,
Parath.hormoon,EPTH;BL,132,25.40985,47.8374,0.73,4.415,12.065,23.31,417.6,0,
Posaconazol,POCO;BL,132,1.245939,1.178425,0.1,0.5325,0.865,1.715,8.58,0,
Aspergillus antigeen (Galactomannan) index,M_GALACAGnum_SR,131,0.474786,1.255363,0,0.1,0.1,0.2,8.3,0,
Tobramycine,TOBM;BL,130,7700.08,87705.03,0.5,2,5.6,13,999999,0,
Paracetamol,K_PRC_EP,128,17.93828,35.96971,5,5,5,5.925,183.3,0,
Totaal EO's (HTEO),HTEO;BL,126,0.357302,1.009991,0,0.01,0.08,0.295,7,0,
IgG,K_IGG_SR,126,10.56762,9.140275,0.36,5.2,7.8,12,53.1,0,
Epstein Barr Virus EBNA IgG testwaarde,M_EBVEBNAnum_SR,126,253.7545,208.3193,3,53.475,220,421,600,0,
Welk resultaat,H_BT_Info_Resultaat,126,7.777778,10.84302,3,4.525,5,6,81,0,
Parath.hormoon,PTH;BL,125,31.7872,34.39824,0.7,8.1,20,47,184,0,
Anti-Xa Nadroparine (Fraxiparine/Fraxodi),H_AXNAP_CP,124,0.353145,0.282775,0.1,0.12,0.25,0.475,1.66,0,
Cortisol,ICOR;BL,124,1076.363,1553.262,54,383.25,604,909.25,11809,0,
#Eosinofiel,BEOA;L,124,0.072258,0.55162,0.001,0.001,0.002,0.006,6,0,
Blasten (HBLA),HBLA;BL,124,27.69355,32.03813,0,2.75,13,34,97,0,
Alb.Chem ascitesvocht,K_ALBC_AS,123,7.536585,4.813391,2,4,7,9,25,0,
Cytomegalovirus IgM testwaarde,M_CMVMXLnum_SR,122,6.742049,4.939877,5,5,5,6,45.9,0,
Opmerking,K_HOPM_EB,121,49.59504,4.454545,1,50,50,50,50,0,
Levetiracet.,LEV;BL,120,25.60217,19.18214,0.8,11.8,22.5,31.925,106,0,
Leuco's pleuravocht,K_LEU_PP,120,5.490792,18.4085,0,0.3015,0.702,1.92625,152.7,0,
Micro-albumine,K_MALB_UR,118,94.18983,192.1526,3,14.975,34.8,80.35,1499,0,
CocaÃ¯ne numeriek,A_COCnum_UR,118,133.0593,275.4553,40,40,40,40,1000,0,
Methadon,A_METnum_UR,118,43,174.1829,10,10,10,10,1000,0,
Opiaten,A_OPInum_UR,117,208.5897,1003.202,10,10,10,10,9333,0,
Cannabis,A_CANnum_UR,117,46.13162,115.6631,10,10,10,10,842,0,
Cortisol,K_COR_SR,115,729.7565,805.776,30,382.5,595,910,7220,0,
Amfetamine numeriek,A_AFTnum_UR,115,226.2783,389.7496,100,100,100,126.25,2000,0,
Blasten#,HBLA#;BL,114,11.31728,39.97369,0,0.2725,0.975,5.57,383.57,0,
HbS (HbS),HBS;BL,114,39.23421,25.7566,4.6,19.45,29.9,54.375,93.7,0,
Lithium,K_LIT_EP,114,0.725965,0.639265,0.05,0.3625,0.615,0.835,5.02,0,
Gentamicine,A_GEO_EP,114,2.632807,3.092238,0.5,0.5,1.29,3.6275,15.49,0,
Foliumzuur,K_FOLA_SR,113,17.8354,12.43957,2.5,10.1,15.8,21.7,91,0,
BTM Info allogeen transpl datum:,H_BT_Info_allogeen_datum,112,20170603,18273.74,20131203,20161221,20180321,20180321,20210407,0,
Screening IH500 cel II,H_Scr_IH500_II,111,1.95045,1.165713,0.5,1,2,3,4,0,
Hepatitis E virus IgM testwaarde,M_HEVMnum_SR,110,0.034309,0.054645,0,0.01025,0.02,0.03,0.332,0,
EBV DNA,M_PCR_EBVkwan2_EP,110,10977.55,26377.92,1000,1000,1000,3860,100000,0,
Hepatitis E virus IgG testwaarde,M_HEVGnum_SR,110,1.830145,4.01203,0,0.03,0.0985,0.82025,20.37,0,
CD 4/8 ratio,RT48;BL,109,1.723578,1.951282,0.01,0.48,1.1,2,9.41,0,
CD 3 (CD 3),D3P;BL,109,71.45495,14.34699,30.82,64.17,74.36,80.49,95.11,0,
CD 4 (CD 4),D4P;BL,109,35.39128,19.08822,0.22,22.28,36,46.3,78.04,0,
Microalb. (U),UMAL;U,109,470.9174,850.3773,4,37,107,386,4400,0,
CD 8,CD8A;BL,109,0.424312,0.488162,0,0.14,0.29,0.51,3.06,0,
CD 3,CD3A;BL,109,0.862477,0.75106,0.01,0.34,0.68,1.13,5.13,0,
Herpes simplex IgG testwaarde,M_HSVGnum_SR,109,17.24535,11.87219,0.5,4.54,19.5,30,30,0,
CD 8 (CD 8),D8P;BL,109,34.76119,18.04284,6.67,21.62,32.66,44.01,89.63,0,
CD 4,CD4A;BL,109,0.425046,0.393589,0,0.14,0.33,0.59,2.07,0,
PR3 antistoffen,APR3;BL,108,1.949074,9.751602,0.7,0.7,0.7,0.7,101,0,
Cortisol,CORT;BL,108,458.463,315.1594,31,254,417,600.75,1744,0,
Gered.-Hb,CHBH;BL,108,7.713889,12.08856,0.1,2.475,4.25,7.6,75,0,
Vrije lambda (BJVL),BJVL;BL,107,133.9069,348.6829,0.96,15.1,26.7,67.95,2570,0,
Vrije kappa (BJVK),BJVK;BL,106,354.3005,1988.54,0.32,20.625,38.65,92.825,20000,0,
Factor IX,FC09;BL,106,87.65377,29.96169,25.5,64.425,84.7,105.55,191.8,0,
EBV DNA Cp waarde,M_PCR_EBV_EP_Cp,106,35.66915,3.626843,25.78,33.5075,36.215,38.6375,40,0,
Ganciclovir,GACI;BL,105,3.324267,2.431329,0.199,1.22,2.71,5.07,10.35,0,
HbF (HbF),HBF;BL,104,4.065673,4.021989,1,1.475,2.55,5.15,20.2,0,
MPO antistoffen,AMPO;BL,103,11.84466,56.18744,0.3,0.3,0.3,0.35,420,0,
Epstein Barr Virus VCA IgM testwaarde,M_EBVMnum_SR,101,15.90396,22.66624,10,10,10,10,160,0,
Benzodiazepinen-screening,A_BENnum_UR,100,575.27,486.9786,19,19,1000,1000,1868,0,
FenytoÃ¯ne,A_FNY_SR,98,7.259419,5.157209,0.4481,2.491,5.94445,11.50193,21.1,0,
HbA1,K_HBA1_EB,98,9.45,3.666011,5.3,6.8,8.15,10.75,18.8,0,
Ca-ion (7.4),K_CA_SR,97,1.091856,0.32872,0.22,0.96,1.08,1.29,1.95,0,
pH,K_PH_SR,97,7.382526,0.084117,7.08,7.34,7.39,7.431,7.57,0,
ValproÃ¯nezuur,A_VLP_SR,97,36.68594,18.87129,0.3,21.5,36.27,48.2,98.4,0,
BK fles volume (ml),M_BacFXan_VOL,96,8.291667,4.920241,0,4.75,9,12,20,0,
Reticulo's,K_RETI_EB,96,32.97917,31.14008,1,13.75,22.5,46,190,0,
Aspergillus DNA Cp waarde,M_PCR_Aspergillus_BC_Cp,95,35.78589,2.401334,29.19,34.605,36.01,36.96,40,0,
HbA1 (HbA1),HBA1;BL,95,61.26684,20.55333,6.87,52.9,66.7,76.3,93.3,0,
Staven,SSTA;BL,94,5.829787,6.697196,1,2,4,7,42,0,
Hb in plasma,HBPL;BL,94,0.037447,0.131509,0.01,0.01,0.01,0.02,1.2,0,
a-dsDNA Nucl,DNAN;BL,94,53.68085,117.9975,1,1,1,45.25,568,0,
ValproÃ¯nezuur vrije concentratie,A_VLV_SR,92,10.06189,8.284204,1,5.2075,7.23215,11.85,45.88,0,
BK fles O2 volume (ml),M_BacFXO2_VOL,92,8.51087,4.924696,0,4.75,8,12,22,0,
Micro-albumine/Kreat ratio,K_MALBKR,92,15.95913,34.72354,0.19,2.08,4.06,15.395,264.84,0,
Vit-B1,K_VIB1_HB,91,192.3077,164.531,23,120.5,148,190,750,0,
BK fles myc start tijd,M_BacFXmyc_START,90,20194963,5534.777,20181024,20190705,20191125,20200427,20210314,0,
Factor V activiteit,H_FVact_BL,89,70.03371,43.78186,3,33,67,100,177,0,
IgM RF,MRF;BL,89,119.2989,270.743,0.6,18,38,83,1695,0,
Trombinetijd,STRT;BL,89,28.40674,22.58666,13.3,17,19.6,27.5,120,0,
Procalcitoni,CCTP;BL,87,2.292989,7.057079,0.06,0.22,0.5,1.2,47,0,
ACE (ACE),ACE;BL,86,37.75581,26.03479,5,18.5,32.5,49,132,0,
Sirolimus,SIRL;BL,85,11.38988,7.544495,1.34,5.64,10.2,14.9,39.29,0,
Rhesus 1 enhanced hand,H_Rh1enhanced_hand,84,3.678571,0.541322,1,3,4,4,4,0,
Lymfocyten (O,SLYMO;L,84,56.15476,39.11105,1,21,56.5,88.25,184,0,
Screening IH500 cel III,H_Scr_IH500_III,84,1.47619,0.863953,0.5,1,1,2,3,0,
INR POCT,P_INR_GB,82,1.615854,0.7976,0.9,1.1,1.3,2,6,0,
LD ascitesvocht,K_LD_AS,81,481.4815,2200.827,26,67,110,267,19745,0,
I-Index SR,K_ICTIND_SR,79,12.10127,7.422411,0,7,11,15,44,0,
L-Index SR,K_LIPIND_SR,79,10.29114,5.094371,2,7,9,12.5,29,0,
Rhesus 2 monoclonaal hand,H_Rh2monoclonaal_hand,79,3.708861,0.534739,1,3,4,4,4,0,
H-Index SR,K_HEMIND_SR,79,7.518987,8.108022,0,2,5,10,46,0,
Cytomegalovirus IgG testwaarde,M_CMVGnum_SR,79,98.59747,94.1369,0,1.95,85.2,181.55,250,0,
ery B hand,H_ery_B_hand,78,2.929487,1.152987,0.5,2,3,4,4,0,
Monocyten (OV),SMONO;L,78,10.07692,12.81311,1,3,6,11,71,0,
Barbituraten-screening,A_BARnum_UR,78,26.74359,10.5442,25,25,25,25,114,0,
Ery/3uL,K_ERLI_LI,77,89890.88,266943.3,0,52,2578,33000,1254000,0,
Ery's/uL,K_ERLIBer_LI,77,29963.63,88981.1,0,17.333,859.333,11000,418000,0,
Leuco/3uL,K_LELI_LI,77,1594.87,7037.286,0,9,39,264,51000,0,
Leuco's/uL,K_LELIBer_LI,77,531.6233,2345.762,0,3,13,88,17000,0,
CD3+ abs.,LY3A;BL,76,0.543039,0.636565,0.006,0.1285,0.394,0.7405,4.289,0,
CD3+ %lymf.,LY3P;BL,76,72.59605,18.71819,12.8,60.975,78.1,87.8,97.2,0,
Leuco's dialysaat,K_LEU_DI,76,0.436895,0.716881,0.003,0.034,0.072,0.45225,3.401,0,
CD8+ abs.,LY8A;BL,75,0.261653,0.271259,0.002,0.0735,0.183,0.332,1.472,0,
Erytroblast,SEBL;BL,75,13.02667,26.14666,1,1,3,12,148,0,
CD4/CD8ratio,IR48;BL,75,1.445333,2.024799,0,0.5,0.9,1.55,13.5,0,
NK-cel abs.,LNKA;BL,75,0.079387,0.074141,0,0.021,0.053,0.1245,0.28,0,
CD8+ %lymf.,LY8P;BL,75,37.74267,18.96922,2.6,24,34.4,52.5,84.7,0,
NK-cel %lymf,LNKP;BL,75,15.236,15.8624,0.6,5.1,9.8,17.75,82.1,0,
CD4+ abs.,LY4A;BL,74,0.266473,0.411736,0.004,0.047,0.1575,0.321,2.697,0,
Meropenem,A_MER_EP,74,22.82832,24.59501,0.5,7.375,15.95,33.925,150.2,0,
Baso.gra. (BM),SBASBM;BM,74,1.891892,1.898576,1,1,1,2,14,0,
CD4+ %lymf.,LY4P;BL,74,32.43784,16.9356,1.2,19.975,29.15,41.3,77.6,0,
Hb experimenteel,RHB;O,74,1.625676,2.153307,0,0.2,0.6,2.275,8.8,0,
Adamts13 activiteit,ADAM;BL,73,0.531233,0.254274,0.03,0.33,0.55,0.73,1.02,0,
Hb pleuravocht,K_HB_PP,73,1.225534,1.109586,0.028,1,1,1,7.2,0,
Totaal Eiwit ascitesvocht,K_TE_AS,71,14.76056,10.17906,2,7,13,21,41,0,
Vrije Vetzuren totaal (FFA),FFA;BL,71,0.477606,0.213284,0.13,0.33,0.44,0.61,1.19,0,
Screening IH500 cel I,H_Scr_IH500_I,70,1.507143,0.796245,0.5,0.5,2,2,3,0,
Aciclovir,ACLO;BL,70,8.3669,9.126093,0.19,2.1025,4.945,9.5275,40.7,0,
Eosinofielen,SEOS;BL,70,2.671429,3.179287,0,1,1.5,3,20,0,
Parvovirus IgG testwaarde,M_PARGnum_SR,69,17.38478,16.53085,0.1,0.85,12.7,30.9,46,0,
Lymfocyten,H_LY_BE,68,8.911765,7.506684,1,5,7,10.25,54,0,
Segmenten,H_HSGA_beenmerg_EB,67,6.246269,8.010702,0.02,0.925,2.88,8.505,38.93,0,
Calcium (U),UCAL;U,67,1.710746,1.543984,0.2,0.63,1.12,2.4,8.11,0,
Eo,H_HEOA_beenmerg_EB,67,1.042985,7.304403,0,0,0,0.045,59.83,0,
Myelocyten,H_HMYOA_beenmerg_EB,67,0.480896,1.377607,0,0,0,0.08,8.78,0,
Factor VIII act.,F8SO;BL,67,75.27612,90.93863,1.3,24.35,58.5,82.15,522.6,0,
Promyelocyten,H_HPROA_beenmerg_EB,67,2.247761,15.92293,0,0,0,0,130.2,0,
Metamyelocyten,H_HMETA_beenmerg_EB,67,0.133433,0.336837,0,0,0,0.07,2.08,0,
Lymfocyten,H_HLYA_beenmerg_EB,67,2.084328,3.547309,0.04,0.435,0.86,1.955,21.95,0,
MyeloÃ¯d Totaal,H_WitTotaal_BE,67,54.97015,19.15801,11,42.5,56,68.5,93,0,
Monocyten,H_HMOA_beenmerg_EB,67,4.517761,23.6923,0,0.1,0.34,1.205,192,0,
Staaf,H_HSTA_beenmerg_EB,67,0.602239,1.612612,0,0,0.09,0.275,8.78,0,
Baso,H_HBAA_beenmerg_EB,67,0.115522,0.562665,0,0,0,0,4.39,0,
AX ARIXTRA,AXAX;BL,67,0.692537,0.35286,0.14,0.41,0.6,0.95,1.43,0,
Kreatinine,A_KR_UR,67,6.945821,5.113594,0.49,2.96,5.85,9.945,22.53,0,
Blasten,H_HBLA_beenmerg_EB,67,11.54299,50.18277,0,0,0,0.005,351.2,0,
Staaf %,H_HST_beenmerg_EB,66,3.818182,4.526534,0,0.25,2,6,22,0,
Promyelocyten %,H_HPRO_beenmerg_EB,66,2.227273,12.46508,0,0,0,0,84,0,
Anti AB hand,H_Anti_AB_hand,66,3.969697,0.172733,3,4,4,4,4,0,
Monocyten %,H_HMO_beenmerg_EB,66,9.151515,12.49399,0,3,5,11.75,80,0,
Chol.tot/HDL,CHHO;BL,66,4.654697,1.82079,1.95,3.58,4.11,5.515,10.68,0,
Digoxine,K_DIG_EP,66,1.385303,0.857596,0.3,0.7825,1.135,1.805,3.79,0,
Myelocyten,H_MYO_BE,66,12.06061,7.452163,1,8,11,14,37,0,
Toxoplasma gondii IgG testwaarde,M_TOXGnum_SR,66,22.66091,44.14219,0,3,3,20.325,193,0,
Eo %,H_HEO_beenmerg_EB,66,2.212121,8.221015,0,0,0,1,62,0,
Myelocyten %,H_HMYO_beenmerg_EB,66,1.272727,2.520961,0,0,0,1,13,0,
Baso %,H_HBA_beenmerg_EB,66,0.318182,0.636314,0,0,0,0,2,0,
Blasten %,H_HBL_beenmerg_EB,66,7.363636,20.7636,0,0,0,1,88,0,
Rood Totaal,H_RoodTotaal_BE,66,27.87879,16.57479,1,15.25,28,37.5,75,0,
Amfetamine screen UR num.,K_AFTN_UR,66,559,3740.659,0,13.25,50,143.5,30469,0,
Segmenten %,H_HSG_beenmerg_EB,66,52.54545,29.00354,1,29.5,63,77.5,90,0,
Metamyelocyten %,H_HMET_beenmerg_EB,66,0.69697,1.252317,0,0,0,1,6,0,
Lymfocyten %,H_HLY_beenmerg_EB,66,20.39394,22.26061,1,6.25,11,24.75,90,0,
Cocaine screen UR num.,K_COCN_UR,65,542.9231,1636.316,0,3,21,32,5975,0,
Opiaten screen UR num.,K_OPIN_UR,65,11.96923,17.44453,0,0,6,16,81,0,
Promyelocyten,H_Promy_BE,65,7.538462,9.402588,1,3,4,8,54,0,
Cannabis screen UR num.,K_CANN_UR,65,51.46154,127.207,0,0,5,17,631,0,
Methadon screen UR num.,K_MDNN_UR,65,99.66154,504.2587,0,0,0,40,3903,0,
non-HDL-Chol (Ber.),K_NHDL_HP,64,2.801562,1.194231,0.4,1.975,2.6,3.225,5.7,0,
C4,K_C4_SR,64,0.217973,0.10919,0.0386,0.13875,0.21,0.2885,0.476,0,
Blasten,H_BLA_BE,64,7.921875,16.21219,0,1,2,4,96,0,
Benzodiazipine screen UR num.,K_BENN_UR,64,799.4531,739.7553,0,1.5,726.5,1595.5,1762,0,
A1-foetoproteÃ¯ne (EAFP),EAFP;BL,64,4204.734,26653.68,1,2,4,11.25,211885,0,
Hepatitis A IgM testwaarde,M_HAVMnum_SR,64,0.155719,0.241483,0.1,0.1,0.1,0.1325,2.01,0,
Staaf,H_Staaf_BE,63,7.460317,3.987179,1,4,8,10,19,0,
Segmenten,H_Segm_BE,63,15.52381,10.34542,1,6.5,14,23,50,0,
Blasten,SBLA;BL,63,33.84127,36.39843,1,3,14,73,96,0,
Fenytoine,FENT;BL,62,11.42253,6.590834,0.797,5.9,11.15,15.2,26.6,0,
Epstein Barr Virus VCA IgG testwaarde,M_EBVGARCHnum_SR,62,44.93613,19.8299,0.02,29.5275,51.175,59.68,71.48,0,
Anti A hand,H_Anti_A_hand,62,3.943548,0.4445,0.5,4,4,4,4,0,
Metamyelocyt,SMEM;BL,62,3.032258,2.515315,1,1,2,4,14,0,
C3,K_C3_SR,61,1.043279,0.398826,0.39,0.74,1.08,1.3,2.1,0,
CMV IgM testwaarde,M_CMVMnum_SR,61,0.570164,2.091748,0.06,0.12,0.16,0.24,16.23,0,
Metamyelocyten,H_META_BE,61,4.163934,2.781968,1,2,4,5,17,0,
Amikacine,AMIC;BL,60,16.8195,15.81401,1.06,5.2725,9.955,24.8825,75.06,0,
Dir.Coombs AHG,H_DirecteCoombs_EB,60,1.591667,0.880541,0.5,1,1,2,3,0,
Busulfan,A_BUS_HP,59,2691.283,1431.529,366,1843.623,2580,3200,9400,0,
Hepatitis A Ig totaal testwaarde,M_HAVIgTnum_SR,59,0.905458,1.066498,0.1,0.1,0.1,2.195,2.7,0,
Myelocyten,SMYE;BL,59,4.20339,3.749849,1,1,3,5.5,15,0,
Digoxine (DIGI),DIGI;BL,58,1.239655,0.803925,0.4,0.625,1.1,1.5,4.4,0,
B-cel %lymf.,L19P;BL,58,13.23672,12.25514,0,3.77,9.215,19.4,56.33,0,
Plasmacel,H_Plasm_BE,58,6.844828,11.89545,0,1,3,5.75,71,0,
B-cel abs.,L19A;BL,58,0.106052,0.126779,0,0.01075,0.047,0.154,0.565,0,
Pentobarbital.,PENT;BL,58,19.83029,15.14178,0.52,8.9925,15.07,29.8625,74,0,
Macrofagen (OV),SMACO;L,58,14.03448,14.73028,1,3,8,20,64,0,
Lithium,A_LIT_EP,58,0.659724,0.340945,0.101,0.39775,0.6005,0.891,1.606,0,
Borrelia IgG testwaarde,M_BorreliaGnum_SR,58,5.595328,2.178448,5,5,5,5,17.9,0,
Borrelia IgM testwaarde,M_BorreliaMnum_SR,58,0.316241,0.501785,0.1,0.1,0.13,0.3275,3.57,0,
Herpes simplex IgM testwaarde,M_HSVMnum_SR,57,0.738947,0.654138,0.5,0.5,0.5,0.5,3.5,0,
"1,25-diOH vit D",K_D125_SR,55,52.8,44.05485,10,20,36,65,230,0,
Monocyten,H_Mono_BE,55,2.854545,2.620561,0,1,2,4,16,0,
CEA (ECEA),ECEA;BL,55,54.39091,102.0574,0.2,2.55,3.9,30.65,411.6,0,
Clozapine,A_CLZ_SR,54,386.4563,400.0202,10.51,147.542,243.4335,496.5865,1895.2,0,
Pro.Mono. (BM),SPMONBM;BM,54,19.83333,40.00318,1,2,4,15.25,195,0,
IgG,K_IGG_LI,54,255.2648,482.1649,12.7,50.425,87.5,205.5,2810,0,
Fosfaat (U),UFOS;U,54,14.34815,17.73397,0,4.65,8.8,14.725,84.3,0,
PH-stik,KPHS;U,54,5.935185,1.36688,5,5,5,6.5,9,0,
Vrij K/L ratio (ProSpec),K_FKLratio_BL,53,23.33985,147.9817,0.182,1.082,1.462,2.164,1079.422,0,
Tobramycine,A_TBO_EP,53,4.288491,3.955047,0.5,0.92,3.64,6,19.53,0,
Amiodaron,AMI;BL,53,1.321925,1.188655,0.13,0.57,0.88,1.61,6.02,0,
PSA (EPSA),EPSA;BL,53,44.72075,173.155,0.1,0.7,3.5,7.1,1178,0,
Des.amiodar.,DEA;BL,53,0.635019,0.290144,0.1,0.41,0.622,0.84,1.29,0,
Posaconazol,A_POS_SR,52,0.969179,0.691065,0.0616,0.42595,0.81,1.3625,2.78,0,
Kalium,K_KA_UV,52,46.9106,30.00207,1.934,23.5655,39.5135,63.909,137.2,0,
FIB-4 score,K_FIB4,52,2.987308,2.557568,0.17,1.0725,1.925,4.4525,10.72,0,
Eo,H_EO_BE,52,5.865385,9.152368,1,1.75,3,6,48,0,
IgM,K_IGM_SR,52,2.293462,6.31941,0.17,0.4,0.725,1.8475,43.1,0,
IgG4,IGG4;BL,51,0.652549,1.254135,0.01,0.125,0.38,0.66,8.68,0,
Factor VIII activiteit,H_FAVIIIact_BL,51,287.5882,125.0904,47,187.5,282,372,500,0,
Thyroxin (T4),T4;BL,51,94.32549,77.1402,17.6,45,80,107.5,450,0,
Factor VII,FC07;BL,51,53.64706,31.64669,6,22,58,76.5,131,0,
Lipase drainvocht,K_LIPA_DR,51,12642.98,43938.96,5,41.15,217.5,600,226160,0,
Albumine (imm.),K_ALBI_LI,51,1680.494,3297.263,82.2,319,697,1455,18800,0,
Beta-HCG (EHCG),EHCG;BL,50,2910.94,9609.895,2,4,18.5,262.75,43349,0,
Toxoplasma gondii IgM testwaarde,M_TOXMXLnum_SR,50,3.0208,0.147078,3,3,3,3,4.04,0,
Toxoplasma Sabin Feldman bloed,M_ToxoSabinFeld_SR,50,15.46,32.35467,1,1,1,8,128,0,
Ery's ascitesvocht,K_ERY_AS,49,0.140102,0.542336,0,0,0.001,0.01,2.829,0,
Vrij-Kappa (ProSpec),K_FKAPP_SR,49,150.0806,424.399,2.07,20.3,59.7,103,2990,0,
Vrij-Lambda (ProSpec),K_FLAMP_SR,49,50.93755,67.47285,1.95,12.1,30.8,58.7,311,0,
Amylase ascitesvocht,K_AMYL_AS,49,5101.224,13693.24,3,16,61,2098,75750,0,
ds-DNA antistoffen,K_DNATI_SR,49,9.218367,53.95423,0.1,0.7,1,1.7,379,0,
HCG,K_HCG_UR,49,473.9333,3288.552,2,2,5,5,23024,0,
Pl.ren.aktiv,PRA;BL,49,21.16531,32.06678,0.3,2.2,7.2,30,160,0,
EBV DNA Cp waarde,M_PCR_EBV_BC_Cp,49,34.54469,3.318145,23.73,33.24,35.36,36.72,40,0,
Cardiolipine IgG antistoffen,K_ACAG_SR,48,1.825,4.450365,0.1,0.4,0.7,1.9,31,0,
Alb-Fr,K_ALF_SR,47,26.04511,6.525582,14.14,20.93,24.6,32.35,41.5,0,
Concentratie sCD25 (IL2-R),K_CSCD25_SR,47,7568.872,10042.27,249,1041,3530,7696.5,40760,0,
Epstein Barr Virus EBNA IgG testwaarde,M_EBVEBNAARCHnum_SR,47,12.03702,8.41307,0.01,4.22,13.89,18.015,26.58,0,
A2-Fr,K_A2_SR,47,8.356809,2.627609,1,7.135,8.4,10.2,13.5,0,
Beta-2-glycoproteine 1 antistoffen (IgG),K_B2GP1G_SR,47,1.223404,1.049267,0.1,0.4,1,1.8,4.9,0,
Clozapine (CLZP),CLZP;BL,47,404.3415,246.1332,40,217.995,353,538.085,981.99,0,
Beta-Fr,K_BEF_SR,47,6.481489,1.748658,1.9,5.555,6.6,7.435,11.16,0,
Gamma-Fr,K_GAF_SR,47,11.7817,9.566913,2.2,4.3,9.72,13.89,47.6,0,
A1-Fr,K_A1_SR,47,3.006809,1.083966,0.6,2.3,2.98,3.85,5.8,0,
Vitamine B6 (VB6),VB6H;BL,46,138.5674,214.0994,18.4,53.6,73.5,104.55,1358.1,0,
Epstein Barr Virus VCA IgM testwaarde,M_EBVMARCHnum_SR,46,0.127826,0.221047,0,0.03,0.045,0.1125,1.3,0,
BTM Info autoloog transpl datum,H_BT_Info_autoloog_datum,46,20174860,17141.84,20140101,20160207,20171001,20171116,20210817,0,
Dysm.Ery's,K_DYS_UR,46,59.13043,5.897678,20,60,60,60,60,0,
MTBC IGRA TB-1 CD4+,MITB1;BL,46,0.05913,0.177486,0,0,0,0.01,1,0,
MTBC IGRA TB-2 CD8+,MITB2;BL,46,0.050435,0.134014,0,0,0,0.01,0.59,0,
Vrije Valproinezuur,FVALR;BL,45,10.48667,8.882747,1.4,5.5,7.45,12.96,39.06,0,
M-prot.kwant (MOMP),MOMP;BL,45,14.7,18.01586,0.1,1,7.1,26.7,86.8,0,
Parvovirus IgM testwaarde,M_PARMnum_SR,45,0.120222,0.062322,0.1,0.1,0.1,0.1,0.4,0,
Varicella-Zoster virus IgG testwaarde,M_VZVIgGnum_SR,45,1528.353,969.6991,10,762.7,1336,2080,4000,0,
Vitamine B1,K_VITB1_HB,45,147.4467,65.18067,29,106.6,132.4,187.6,329.8,0,
Borrelia C6 index,M_C6PEPTIDEnum_LI,45,0.056,0.059914,0.01,0.02,0.03,0.06,0.3,0,
Cardiolipine IgM antistoffen,K_ACAM_SR,45,2.955556,4.902483,0,1,1.7,2.7,26,0,
Carbamazepin,CABA;BL,45,5.593333,3.147755,1.3,3.7,4.5,6.8,16.6,0,
"ANCA, PR3 antistoffen",K_PR3_SR,45,1.726667,7.298705,0,0.1,0.2,0.6,47,0,
CCP antistoffen,ACCP;BL,44,3.663636,16.19887,0.4,0.875,1.1,1.4,108.6,0,
Vrij-T3,K_FT3_SR,44,3.076818,1.639154,1.54,2.3,2.65,3.425,9.6,0,
Lipase (RLPA),RLPA;O,44,87.17045,140.1149,3,6,16,116.375,571.7,0,
Fenytoine vrije concentratie,A_FNV_SR,44,1.499864,0.977962,0.116,0.825475,1.19785,1.963425,4.0984,0,
Triglyceriden ascitesvocht,K_TRGL_AS,44,1.596364,2.095463,0.2,0.3,0.85,2.1,11.08,0,
Soluble CD25,CD25S;BL,44,7216.159,10208.05,194,1057,3392,7458,40760,0,
Glucose drainvocht,K_GLUC_DR,43,5.813953,8.208056,0.1,0.3,3.1,6.85,37.1,0,
HSV type 1 DNA,M_PCR_HSV1_load_BC,43,62734.65,42841.44,2070,16650,100000,100000,100000,0,
Carbamazepine,A_CAR_SR,43,6.072253,3.964399,0.7272,3.21865,5.036,8.4,19.9,0,
"ANCA, MPO antistoffen",K_MPO_SR,43,2.306977,13.0782,0,0.1,0.2,0.35,86,0,
Aldosteron,ALDO;BL,43,1.015116,1.439916,0.03,0.14,0.44,1.355,6.92,0,
anti-IgG,H_DCkaart_anti_IgG_EB,43,1.616279,0.943885,0.5,1,1,2.5,3,0,
IgA,K_IGA_SR,42,3.889762,7.759866,0.26,1.205,2.3,3.85,51.1,0,
SARS-CoV-2 T IgG (Liaison) testwaarde,M_SARSCoV2IgGnum_SR,42,545.0471,817.3265,4.81,5.68,62.95,770.25,2080,0,
